1315966434.919845000,4,-225.563,2684.58,-16.8669
1315966434.919845000,0,-288.088,2694.89,-18.1418
1315966434.919845000,39,-251.868,2701.54,-18.137
1315966434.919845000,11,-208.913,2717.09,-17.6892
1315966434.919845000,6,-282.062,2771.86,-16.5774
1315966434.919845000,8,-257.066,2754.72,-16.1412
1315966434.919845000,91,-300.903,2694.33,-18.9848
1315966434.919845000,9,-321.21,2717.22,-18.0261
1315966434.919845000,21,-263.975,2719.55,-18.6258
1315966434.919845000,16,-257.106,2709.79,-18.9406
1315966434.919845000,10,-244.942,2729.14,-19.1392
1315966434.919845000,5,-279.177,2695.22,-18.329
1315966434.919845000,46,-311.298,2693.92,-18.7323
1315966434.919845000,38,-224.584,2675.87,-16.6371
1315966434.919845000,92,-249.371,2713.23,-15.2466
1315966434.919845000,15,-268.85,2751.99,-18.6614
1315966434.919845000,30,-322.952,2689.48,-14.5273
1315966434.919845000,24,-304.422,2690.05,-14.4459
1315966434.919845000,7,-231.583,2732.98,-17.5841
1315966434.919845000,18,-254.028,2702.27,-17.1745
1315966434.919845000,22,-283.427,2712.7,-18.8175
1315966434.919845000,32,-268.465,2740.43,-19.0652
1315966434.919845000,23,-239.618,2728.96,-18.9416
1315966434.919845000,28,-271.906,2708.85,-16.9349
1315966434.919845000,29,-305.706,2727.74,-15.042
1315966434.919845000,27,-270.796,2683.3,-18.8402
1315966434.919845000,51,-254.538,2764.82,-17.9879
1315966434.919845000,93,-295.891,2693.91,-18.195
1315966434.919845000,49,-309.375,2724.97,-15.3769
1315966434.919845000,94,-279.369,2717.79,-19.747
1315966434.919845000,95,-295.301,2740.81,-18.8987
1315966434.919845000,33,-273.35,2756.12,-16.3225
1315966434.919845000,19,-296.115,2690.71,-14.6101
1315966434.919845000,96,-282.661,2741.57,-18.9278
1315966434.919845000,13,-287.12,2742.9,-14.8574
1315966434.919845000,64,-304.853,2739.97,-10.5967
1315966434.919845000,41,-283.521,2687.86,-15.4463
1315966434.919845000,47,-296.896,2685.77,-15.1852
1315966434.919845000,37,-221.535,2733.88,-17.4575
1315966434.919845000,17,-233.967,2728.68,-19.3632
1315966434.919845000,89,-289.568,2740.35,-14.9817
1315966434.919845000,48,-287.811,2706.07,-16.975
1315966434.919845000,54,-225.717,2696.64,-16.5162
1315966434.919845000,97,-291.209,2694.68,-19.6441
1315966434.919845000,14,-270.121,2729.11,-17.5416
1315966434.919845000,36,-304.478,2685.96,-14.7627
1315966434.919845000,67,-325.53,2723.08,-17.4504
1315966434.919845000,98,-257.407,2768.34,-17.0377
1315966434.919845000,99,-240.886,2716.75,-16.8113
1315966434.919845000,100,-308.348,2717.69,-19.5216
1315966434.919845000,43,-253.927,2730.6,-17.9735
1315966434.919845000,65,-225.746,2701.94,-17.1515
1315966434.919845000,101,-317.095,2722.86,-19.2014
1315966434.919845000,35,-247.94,2718.51,-18.0699
1315966434.919845000,75,-331.97,2688.77,-14.1215
